epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5182,2.0771,5.19781,1.927,0,0,0,0,1.64369,5.14084,1.47306,2.78e-06,2.78e-06,2.78e-06
2,66.2406,1.89587,5.12578,1.63672,0,0,0,0,1.67551,5.13732,1.483,6.88119e-06,6.88119e-06,6.88119e-06
3,91.5067,1.87448,5.06532,1.5597,0,0,0,0,1.6984,5.1406,1.47314,1.08998e-05,1.08998e-05,1.08998e-05
4,117.97,2.04535,5.14436,1.78106,0,0,0,0,1.72816,5.09697,1.47874,1.48359e-05,1.48359e-05,1.48359e-05
5,143.582,1.78619,4.95174,1.50877,0,0,0,0,1.8065,5.13403,1.47395,1.86894e-05,1.86894e-05,1.86894e-05
6,168.633,2.16342,5.19823,1.80593,0,0,0,0,1.8395,5.15741,1.4693,2.24603e-05,2.24603e-05,2.24603e-05
7,194.081,2.04519,4.91759,1.67205,0,0,0,0,1.87956,5.17695,1.47334,2.61487e-05,2.61487e-05,2.61487e-05
8,219.513,1.73983,4.96946,1.59962,0,0,0,0,1.85499,5.20337,1.45476,2.97545e-05,2.97545e-05,2.97545e-05
9,245.546,1.76988,4.7858,1.51821,0,0,0,0,1.96948,5.2008,1.442,3.32777e-05,3.32777e-05,3.32777e-05
10,271.16,1.84152,4.68997,1.53404,0,0,0,0,1.99865,5.17814,1.44337,3.67184e-05,3.67184e-05,3.67184e-05
11,296.801,1.85807,4.63301,1.51867,0,0,0,0,2.05517,5.19653,1.43026,4.00765e-05,4.00765e-05,4.00765e-05
12,322.404,1.93305,4.53093,1.55008,0,0,0,0,2.10539,5.19515,1.42355,4.3352e-05,4.3352e-05,4.3352e-05
13,347.504,1.76171,4.38091,1.34799,0,0,0,0,1.9923,5.09457,1.38435,4.6545e-05,4.6545e-05,4.6545e-05
14,372.953,1.95484,4.27275,1.56596,0,0,0,0,1.99515,5.02456,1.3757,4.96554e-05,4.96554e-05,4.96554e-05
15,398.495,1.8744,4.15944,1.37859,0.5,0.13889,0.31944,0.23821,1.97983,4.87578,1.37906,5.26832e-05,5.26832e-05,5.26832e-05
16,424.338,2.22596,3.97361,1.65812,0.5,0.23611,0.36805,0.25736,2.00397,4.81903,1.3837,5.56285e-05,5.56285e-05,5.56285e-05
17,449.45,2.08117,3.68025,1.47639,0.5,0.41667,0.4583,0.30157,2.07207,4.60805,1.39946,5.84912e-05,5.84912e-05,5.84912e-05
18,475.615,2.08837,3.49605,1.54751,0.5,0.45833,0.4791,0.31637,2.11749,4.4608,1.40906,6.12713e-05,6.12713e-05,6.12713e-05
19,500.829,2.09493,3.18375,1.41838,0.5,0.45833,0.4791,0.31366,2.21869,4.2912,1.4467,6.39689e-05,6.39689e-05,6.39689e-05
20,526.863,2.10841,3.18799,1.42384,0.48529,0.45833,0.47846,0.31593,2.3051,4.09012,1.46694,6.65839e-05,6.65839e-05,6.65839e-05
21,551.895,2.02785,2.74095,1.4189,0.40476,0.47222,0.483,0.31962,2.36439,3.84664,1.45821,6.91164e-05,6.91164e-05,6.91164e-05
22,577.892,2.00334,2.76396,1.43612,1,0.44413,0.56552,0.35319,2.38431,3.54042,1.4577,7.15662e-05,7.15662e-05,7.15662e-05
23,603.625,2.19149,2.56506,1.50944,0.4832,0.57289,0.56019,0.3467,2.34774,3.16204,1.4624,7.39335e-05,7.39335e-05,7.39335e-05
24,643.168,1.99269,2.36916,1.38843,0.41663,0.63665,0.54281,0.32775,2.29853,2.84069,1.46607,7.62183e-05,7.62183e-05,7.62183e-05
25,674.002,1.95162,2.33861,1.43603,1,0.46389,0.53575,0.33268,2.2157,2.54932,1.45214,7.84205e-05,7.84205e-05,7.84205e-05
26,700.273,1.86152,2.20554,1.43057,0.49995,0.47222,0.5347,0.32937,2.12446,2.349,1.42166,8.05401e-05,8.05401e-05,8.05401e-05
27,726.863,1.91715,2.038,1.35681,0.59236,0.47109,0.53588,0.33688,2.07471,2.23897,1.39425,8.25771e-05,8.25771e-05,8.25771e-05
28,752.611,1.8181,1.8898,1.33028,0.52109,0.47244,0.54671,0.33311,2.04737,2.1929,1.37322,8.45316e-05,8.45316e-05,8.45316e-05
29,778.101,2.03698,2.12621,1.43884,0.52109,0.47244,0.54671,0.33311,2.04737,2.1929,1.37322,8.64035e-05,8.64035e-05,8.64035e-05
30,804.043,2.12593,2.105,1.50774,0.68247,0.47529,0.56896,0.33702,2.04302,2.14967,1.36013,8.81929e-05,8.81929e-05,8.81929e-05
31,829.533,1.84319,2.02194,1.34213,0.8474,0.48229,0.58323,0.33987,2.04738,2.1277,1.34083,8.98996e-05,8.98996e-05,8.98996e-05
32,855.279,1.90723,1.9401,1.38476,0.91402,0.49484,0.59831,0.35093,2.06094,2.07639,1.32777,9.15239e-05,9.15239e-05,9.15239e-05
